,id,name,review_count,category,rating,phone,display_phone,price,coord_lat,coord_long
2339,RWf97WZYgEspWfL9Y7j1xA,Cakes By Nerwan,91,bakeries,4.5,19177450071.0,(917) 745-0071,, 40.77439, -73.91323
2341,RWf97WZYgEspWfL9Y7j1xA,Cakes By Nerwan,91,cakeshop,4.5,19177450071.0,(917) 745-0071,, 40.77439, -73.91323
2343,RWf97WZYgEspWfL9Y7j1xA,Cakes By Nerwan,91,cupcakes,4.5,19177450071.0,(917) 745-0071,, 40.77439, -73.91323
2345,HBwuw8MCvKfdKbXqt6fW5w,Munchies Bakeshop,1,desserts,5.0,13476855178.0,(347) 685-5178,$$, 40.66577, -73.89246
2347,I41VRmgmiQ4kITgFZtJlvQ,Old Poland Bakery,36,bakeries,4.0,,,$, 40.731071, -73.9542397
2349,pNbrxyrG5d5QwRsKbu0cXg,46,97,desserts,4.5,16467156699.0,(646) 715-6699,$, 40.7152930293439, -73.9986442157158
2351,VpEy7E9fij06n7BRrzvEaw,Le Crocodile,229,french,4.5,17184608004.0,(718) 460-8004,, 40.72191, -73.957873
2354,VpEy7E9fij06n7BRrzvEaw,Le Crocodile,229,winebars,4.5,17184608004.0,(718) 460-8004,, 40.72191, -73.957873
2355,VpEy7E9fij06n7BRrzvEaw,Le Crocodile,229,cocktailbars,4.5,17184608004.0,(718) 460-8004,, 40.72191, -73.957873
2358,EJHYYM09cnEfQmFBVZi3rg,Cafe d’Avignon - Dekalb Market Hall,92,breakfast&brunch,4.0,19293784848.0,(929) 378-4848,$$, 40.690934, -73.982881
2359,EJHYYM09cnEfQmFBVZi3rg,Cafe d’Avignon - Dekalb Market Hall,92,sandwiches,4.0,19293784848.0,(929) 378-4848,$$, 40.690934, -73.982881
2361,EJHYYM09cnEfQmFBVZi3rg,Cafe d’Avignon - Dekalb Market Hall,92,coffeeroasteries,4.0,19293784848.0,(929) 378-4848,$$, 40.690934, -73.982881
2363,vijwGDNrPBJHEG7_DsjZNw,Usagi NY,85,bookstores,4.5,17188018037.0,(718) 801-8037,$$, 40.70383, -73.98691
2365,vijwGDNrPBJHEG7_DsjZNw,Usagi NY,85,cafes,4.5,17188018037.0,(718) 801-8037,$$, 40.70383, -73.98691
2367,vijwGDNrPBJHEG7_DsjZNw,Usagi NY,85,homedecor,4.5,17188018037.0,(718) 801-8037,$$, 40.70383, -73.98691
2369,QnHoxbzAXWlXzr50FDQ0zw,Queens Bake House,159,bakeries,4.5,13478433994.0,(347) 843-3994,$$, 40.7609, -73.92375
2371,QnHoxbzAXWlXzr50FDQ0zw,Queens Bake House,159,desserts,4.5,13478433994.0,(347) 843-3994,$$, 40.7609, -73.92375
2373,QnHoxbzAXWlXzr50FDQ0zw,Queens Bake House,159,coffee,4.5,13478433994.0,(347) 843-3994,$$, 40.7609, -73.92375
2375,RZHlSpPc124AgHojTz5j6A,Martha's Country Bakery,1254,bakeries,4.0,17185459737.0,(718) 545-9737,$$, 40.77409, -73.90737
2377,RZHlSpPc124AgHojTz5j6A,Martha's Country Bakery,1254,coffee,4.0,17185459737.0,(718) 545-9737,$$, 40.77409, -73.90737
2379,RZHlSpPc124AgHojTz5j6A,Martha's Country Bakery,1254,cakeshop,4.0,17185459737.0,(718) 545-9737,$$, 40.77409, -73.90737
2381,iyKEtW9KM7rIyycAR0o3ew,Black Star Bakery & Cafe,46,coffee,4.5,,,, 40.738951, -73.980784
2384,iyKEtW9KM7rIyycAR0o3ew,Black Star Bakery & Cafe,46,breakfast&brunch,4.5,,,, 40.738951, -73.980784
2385,11Nbr2oTRB5Uqi36L8if8g,The Consulate - Midtown,38,french,5.0,16468501100.0,(646) 850-1100,, 40.76309, -73.97661
2387,11Nbr2oTRB5Uqi36L8if8g,The Consulate - Midtown,38,newamerican,5.0,16468501100.0,(646) 850-1100,, 40.76309, -73.97661
2388,11Nbr2oTRB5Uqi36L8if8g,The Consulate - Midtown,38,american(new),5.0,16468501100.0,(646) 850-1100,, 40.76309, -73.97661
2389,11Nbr2oTRB5Uqi36L8if8g,The Consulate - Midtown,38,cocktailbars,5.0,16468501100.0,(646) 850-1100,, 40.76309, -73.97661
2391,0KyT5BS9ckMzkhnlnlfmQA,Sant Ambroeus Coffee Bar at Loews Regency Hotel,77,coffee,4.0,12123394051.0,(212) 339-4051,$$, 40.764672, -73.969506
2393,0KyT5BS9ckMzkhnlnlfmQA,Sant Ambroeus Coffee Bar at Loews Regency Hotel,77,desserts,4.0,12123394051.0,(212) 339-4051,$$, 40.764672, -73.969506
2395,0KyT5BS9ckMzkhnlnlfmQA,Sant Ambroeus Coffee Bar at Loews Regency Hotel,77,tradamerican,4.0,12123394051.0,(212) 339-4051,$$, 40.764672, -73.969506
2396,0KyT5BS9ckMzkhnlnlfmQA,Sant Ambroeus Coffee Bar at Loews Regency Hotel,77,american(traditional),4.0,12123394051.0,(212) 339-4051,$$, 40.764672, -73.969506
2397,nyfiqr3mzpEG0Erz7NHFzA,Heavenly Cakes In Hell's Kitchen,6,bakeries,4.5,19174504066.0,(917) 450-4066,$$, 40.76194, -73.99045
2399,uCc6-SogjIYuQIM9J76_AA,Jamie's Dessert Bar,6,cupcakes,4.5,13473841435.0,(347) 384-1435,, 40.660741, -73.961167
2401,uCc6-SogjIYuQIM9J76_AA,Jamie's Dessert Bar,6,icecream,4.5,13473841435.0,(347) 384-1435,, 40.660741, -73.961167
2403,uCc6-SogjIYuQIM9J76_AA,Jamie's Dessert Bar,6,macarons,4.5,13473841435.0,(347) 384-1435,, 40.660741, -73.961167
2405,0I5kXwHY6luEP8pSRRBE6A,Paris Baguette,22,bakeries,4.5,17182556621.0,(718) 255-6621,, 40.74816, -73.94031
2407,0I5kXwHY6luEP8pSRRBE6A,Paris Baguette,22,coffee,4.5,17182556621.0,(718) 255-6621,, 40.74816, -73.94031
2409,0I5kXwHY6luEP8pSRRBE6A,Paris Baguette,22,cakeshop,4.5,17182556621.0,(718) 255-6621,, 40.74816, -73.94031
2411,iRpQSeBq8FLwOKyWOF8dNQ,Sweet & Flour,71,bakeries,4.5,12015522678.0,(201) 552-2678,$$, 40.7941513, -74.0641327
2413,RhXV45QAuIpABSNM5vKxPw,Elan Cafe + Bubbleology,6,bakeries,4.5,19732306933.0,(973) 230-6933,, 40.7394, -74.171939
2415,RhXV45QAuIpABSNM5vKxPw,Elan Cafe + Bubbleology,6,coffee,4.5,19732306933.0,(973) 230-6933,, 40.7394, -74.171939
2417,RhXV45QAuIpABSNM5vKxPw,Elan Cafe + Bubbleology,6,bubbletea,4.5,19732306933.0,(973) 230-6933,, 40.7394, -74.171939
2419,DI5A-3PzqAHqh5ynp8yebw,Lloyd's Carrot Cake,213,bakeries,3.5,12128319156.0,(212) 831-9156,$, 40.787951, -73.949234
2421,HgfzssjwDEWtdcaxSJqfqg,Seven Grams Caffe,535,coffee,4.5,12127271777.0,(212) 727-1777,$$, 40.7456063122198, -73.9942775377597
2423,HgfzssjwDEWtdcaxSJqfqg,Seven Grams Caffe,535,bakeries,4.5,12127271777.0,(212) 727-1777,$$, 40.7456063122198, -73.9942775377597
2425,FZYmp5c1VtWNfe635G_wsQ,Taste of Heaven,250,soulfood,5.0,17185763146.0,(718) 576-3146,$$, 40.717115, -73.940613
2427,MMg42dFFw9r7KKroTX9xKQ,La Delice Pastry Shop,236,bakeries,3.0,12125324409.0,(212) 532-4409,$$, 40.74129, -73.9815799
2429,MMg42dFFw9r7KKroTX9xKQ,La Delice Pastry Shop,236,cakeshop,3.0,12125324409.0,(212) 532-4409,$$, 40.74129, -73.9815799
2437,sJJ1GcP663RJbVuECHN9Ww,Remi 43,112,coffee,4.5,12129188122.0,(212) 918-8122,$$, 40.750615, -73.971293
2439,sJJ1GcP663RJbVuECHN9Ww,Remi 43,112,florists,4.5,12129188122.0,(212) 918-8122,$$, 40.750615, -73.971293
2441,1KUNmKfN9r1-m-NzRMeyQQ,Cuppa Tea,3,coffee,5.0,19172158505.0,(917) 215-8505,, 40.748629105629995, -73.94000262988682
2443,1KUNmKfN9r1-m-NzRMeyQQ,Cuppa Tea,3,cakeshop,5.0,19172158505.0,(917) 215-8505,, 40.748629105629995, -73.94000262988682
2445,1KUNmKfN9r1-m-NzRMeyQQ,Cuppa Tea,3,waffles,5.0,19172158505.0,(917) 215-8505,, 40.748629105629995, -73.94000262988682
2447,PBiuvIy2HjqxBZgFpE5QAQ,Cafe UniBread,28,coffee,4.0,12016833351.0,(201) 683-3351,, 40.74282, -74.02899
2449,PBiuvIy2HjqxBZgFpE5QAQ,Cafe UniBread,28,bakeries,4.0,12016833351.0,(201) 683-3351,, 40.74282, -74.02899
2451,aPicXra8di8yAU30Raxm0A,City Pastry,4,bakeries,4.5,12122224047.0,(212) 222-4047,$$$, 40.801457, -73.954653
2453,DofKw6GW6cE-O2aDNaLwDg,Time Dessert Cafe,7,bakeries,4.5,12014966033.0,(201) 496-6033,, 40.84317, -74.00102389999999
2455,DofKw6GW6cE-O2aDNaLwDg,Time Dessert Cafe,7,cafes,4.5,12014966033.0,(201) 496-6033,, 40.84317, -74.00102389999999
2457,gTkXGwTH9irJ9EFTMB5PQQ,Mango Mango Dessert,571,desserts,4.0,19172615353.0,(917) 261-5353,$$, 40.72911, -73.98858
2459,gTkXGwTH9irJ9EFTMB5PQQ,Mango Mango Dessert,571,juicebars,4.0,19172615353.0,(917) 261-5353,$$, 40.72911, -73.98858
2461,gTkXGwTH9irJ9EFTMB5PQQ,Mango Mango Dessert,571,creperies,4.0,19172615353.0,(917) 261-5353,$$, 40.72911, -73.98858
2463,hDj_0pbi4mFR5p1H1w6igw,Misirizzi,205,italian,4.5,12123750100.0,(212) 375-0100,$$, 40.7272, -73.99228
2465,TkA3mFdgGdF5jzgGulu8Dw,La Fe Bakery,22,bakeries,4.0,17184766762.0,(718) 476-6762,$, 40.7461911, -73.9001054
2467,QO0piwNT2piZDfst_R8AVw,Charlotte Cafe,58,coffee,4.5,13473187107.0,(347) 318-7107,$$, 40.74433, -73.97643
2469,QO0piwNT2piZDfst_R8AVw,Charlotte Cafe,58,bakeries,4.5,13473187107.0,(347) 318-7107,$$, 40.74433, -73.97643
2471,QO0piwNT2piZDfst_R8AVw,Charlotte Cafe,58,desserts,4.5,13473187107.0,(347) 318-7107,$$, 40.74433, -73.97643
2473,do_mwqwCErkEEaTHQ9EiFQ,Piece of Cake,19,desserts,5.0,17323820281.0,(732) 382-0281,$$, 40.5980834960938, -74.2876281738281
2475,do_mwqwCErkEEaTHQ9EiFQ,Piece of Cake,19,icecream,5.0,17323820281.0,(732) 382-0281,$$, 40.5980834960938, -74.2876281738281
2479,JGKahPBe4lxLWJPuQ72ATA,Santa Chiara Caffe,42,cafes,4.0,19294245955.0,(929) 424-5955,, 40.741387, -73.96016
2481,JGKahPBe4lxLWJPuQ72ATA,Santa Chiara Caffe,42,icecream,4.0,19294245955.0,(929) 424-5955,, 40.741387, -73.96016
2483,JGKahPBe4lxLWJPuQ72ATA,Santa Chiara Caffe,42,desserts,4.0,19294245955.0,(929) 424-5955,, 40.741387, -73.96016
2485,Rb75dkk3nXEN4knAeXnkpg,Nathaniel's Bakery,129,desserts,5.0,16467710566.0,(646) 771-0566,$$, 40.74532347665064, -73.76067954082068
2487,Rb75dkk3nXEN4knAeXnkpg,Nathaniel's Bakery,129,cakeshop,5.0,16467710566.0,(646) 771-0566,$$, 40.74532347665064, -73.76067954082068
2489,Rb75dkk3nXEN4knAeXnkpg,Nathaniel's Bakery,129,cupcakes,5.0,16467710566.0,(646) 771-0566,$$, 40.74532347665064, -73.76067954082068
2491,nUk29UWKpe01xvHKJlWadw,Sander's Bakery,23,bakeries,4.5,17183877411.0,(718) 387-7411,$, 40.70323, -73.95699
2493,nUk29UWKpe01xvHKJlWadw,Sander's Bakery,23,kosher,4.5,17183877411.0,(718) 387-7411,$, 40.70323, -73.95699
2495,VRh4cKiyjPk5WfbQnFVG1A,Karat Confections,2,bakeries,4.5,,,, 40.76543, -73.81441
2497,VRh4cKiyjPk5WfbQnFVG1A,Karat Confections,2,desserts,4.5,,,, 40.76543, -73.81441
2499,VRh4cKiyjPk5WfbQnFVG1A,Karat Confections,2,cupcakes,4.5,,,, 40.76543, -73.81441
2501,up9NvpouAUhj_L0yBoxtng,Pi Bakerie,55,greek,4.5,19179916424.0,(917) 991-6424,, 40.70725331933702, -74.00821327133227
2503,up9NvpouAUhj_L0yBoxtng,Pi Bakerie,55,bakeries,4.5,19179916424.0,(917) 991-6424,, 40.70725331933702, -74.00821327133227
2505,up9NvpouAUhj_L0yBoxtng,Pi Bakerie,55,coffee,4.5,19179916424.0,(917) 991-6424,, 40.70725331933702, -74.00821327133227
2507,vPETBDAb1hHTYrzsKgGg_A,Palisades Park Bakery,171,bakeries,4.5,12019443192.0,(201) 944-3192,$, 40.849252, -73.997279
2509,yrfwr2GaYRb-ddkTy3TJqQ,How Sweet It Is,52,cupcakes,5.0,19147095136.0,(914) 709-5136,$$, 40.9027906998556, -73.8653399795294
2511,yrfwr2GaYRb-ddkTy3TJqQ,How Sweet It Is,52,chocolate,5.0,19147095136.0,(914) 709-5136,$$, 40.9027906998556, -73.8653399795294
2513,yrfwr2GaYRb-ddkTy3TJqQ,How Sweet It Is,52,candy,5.0,19147095136.0,(914) 709-5136,$$, 40.9027906998556, -73.8653399795294
2514,yrfwr2GaYRb-ddkTy3TJqQ,How Sweet It Is,52,candystores,5.0,19147095136.0,(914) 709-5136,$$, 40.9027906998556, -73.8653399795294
2515,L_I3bsjV4l2d-q8BMGTE6g,Vintage Cakery,6,desserts,4.5,19178034961.0,(917) 803-4961,, 40.71028, -73.9569
2517,VomdK5tJhjPzSmN002zcVw,L.a. SweetsNY,119,cupcakes,4.5,16469645855.0,(646) 964-5855,$$, 40.8042306160178, -73.9477888126901
2519,VomdK5tJhjPzSmN002zcVw,L.a. SweetsNY,119,cakeshop,4.5,16469645855.0,(646) 964-5855,$$, 40.8042306160178, -73.9477888126901
2521,D2fCCyWufWiBTvrt3nMxHg,Flour Shop,125,bakeries,3.5,12122357049.0,(212) 235-7049,$$, 40.720440176684, -73.9986134071706
2523,D2fCCyWufWiBTvrt3nMxHg,Flour Shop,125,coffee,3.5,12122357049.0,(212) 235-7049,$$, 40.720440176684, -73.9986134071706
2525,D2fCCyWufWiBTvrt3nMxHg,Flour Shop,125,cakeshop,3.5,12122357049.0,(212) 235-7049,$$, 40.720440176684, -73.9986134071706
2527,rW44tFK72COM33jdzxpJog,Lloyd's Carrot Cake,298,bakeries,4.0,17185489020.0,(718) 548-9020,$, 40.894, -73.89666
2529,rW44tFK72COM33jdzxpJog,Lloyd's Carrot Cake,298,desserts,4.0,17185489020.0,(718) 548-9020,$, 40.894, -73.89666
2531,T-Ecr4hzd2YCFMM57fuyUg,Tosokchon NYC,3,asianfusion,4.5,16463988880.0,(646) 398-8880,, 40.747183, -73.984321
2533,T-Ecr4hzd2YCFMM57fuyUg,Tosokchon NYC,3,korean,4.5,16463988880.0,(646) 398-8880,, 40.747183, -73.984321
2535,MYbuBh2BvOWuAgoZGl1RlQ,Yuki's Coffee & Bakery,41,bakeries,4.5,12014556401.0,(201) 455-6401,$$, 40.74691895470821, -74.03784153959603
2537,MYbuBh2BvOWuAgoZGl1RlQ,Yuki's Coffee & Bakery,41,coffee,4.5,12014556401.0,(201) 455-6401,$$, 40.74691895470821, -74.03784153959603
2539,M9T-MvCybPklHR31sea4bA,Fat Cardinal Provisions,40,bakeries,5.0,13479894322.0,(347) 989-4322,, 40.58635, -73.81522
2541,yuADDB0087gWVzo9Zep9FA,Cinnamon Girl,87,bakeries,3.5,,,$$, 40.65933, -73.96038
2544,yuADDB0087gWVzo9Zep9FA,Cinnamon Girl,87,organicstores,3.5,,,$$, 40.65933, -73.96038
2545,iSwAEbHkc-p-WXznCSzeGw,Ciel Dessert,96,desserts,4.5,12014978899.0,(201) 497-8899,$$, 40.9925063731598, -74.0314877042297
2547,iSwAEbHkc-p-WXznCSzeGw,Ciel Dessert,96,cakeshop,4.5,12014978899.0,(201) 497-8899,$$, 40.9925063731598, -74.0314877042297
2555,PYbvwUCdLxwTR8GR-zSnPA,Ava's Lifeline,9,vegan,4.5,17182003459.0,(718) 200-3459,, 40.6920945, -73.9464428
2557,PYbvwUCdLxwTR8GR-zSnPA,Ava's Lifeline,9,bakeries,4.5,17182003459.0,(718) 200-3459,, 40.6920945, -73.9464428
2559,SG9Az18z_UJDm4A61uswoA,Lily Bloom Bakery,81,bakeries,4.5,17182333888.0,(718) 233-3888,$, 40.621261, -74.026771
2561,HXF1rESOyJwSfBGsZ2Kl7A,Rimini Pastry Shop,246,bakeries,4.0,17182360644.0,(718) 236-0644,$$, 40.61176, -73.98386
2563,HXF1rESOyJwSfBGsZ2Kl7A,Rimini Pastry Shop,246,desserts,4.0,17182360644.0,(718) 236-0644,$$, 40.61176, -73.98386
2565,jNRT5vY1Hvp5WDTaHy4Mhw,Sarge's Delicatessen & Diner,1432,delis,4.0,12126790442.0,(212) 679-0442,$$, 40.7473279523583, -73.9772017867971
2567,jNRT5vY1Hvp5WDTaHy4Mhw,Sarge's Delicatessen & Diner,1432,sandwiches,4.0,12126790442.0,(212) 679-0442,$$, 40.7473279523583, -73.9772017867971
2570,jNRT5vY1Hvp5WDTaHy4Mhw,Sarge's Delicatessen & Diner,1432,breakfast&brunch,4.0,12126790442.0,(212) 679-0442,$$, 40.7473279523583, -73.9772017867971
2571,fPHMRc92nahosXvu2Jor3g,Fat Girl Lovez Cake,1,bakeries,5.0,17187570027.0,(718) 757-0027,$$, 40.6876162850504, -73.9383544027805
2573,fPHMRc92nahosXvu2Jor3g,Fat Girl Lovez Cake,1,cupcakes,5.0,17187570027.0,(718) 757-0027,$$, 40.6876162850504, -73.9383544027805
2575,8VhsQ3bXEkQlCrPyg2I1AQ,Butter Dose,77,bakeries,4.0,,,, 40.731923914952766, -73.9862697
2577,8VhsQ3bXEkQlCrPyg2I1AQ,Butter Dose,77,cafes,4.0,,,, 40.731923914952766, -73.9862697
2579,TFMSSbYoswuC4MSBGhQt3w,Matto Espresso,3,coffee,4.0,,,, 40.76023, -73.96488
2581,TFMSSbYoswuC4MSBGhQt3w,Matto Espresso,3,desserts,4.0,,,, 40.76023, -73.96488
2583,TFMSSbYoswuC4MSBGhQt3w,Matto Espresso,3,juicebars,4.0,,,, 40.76023, -73.96488
2585,14HOGDBDgb-LmXrDAxGz9Q,Mango Mango,81,desserts,4.5,13475070717.0,(347) 507-0717,$$, 40.74421, -73.95328
2587,14HOGDBDgb-LmXrDAxGz9Q,Mango Mango,81,bubbletea,4.5,13475070717.0,(347) 507-0717,$$, 40.74421, -73.95328
2589,14HOGDBDgb-LmXrDAxGz9Q,Mango Mango,81,waffles,4.5,13475070717.0,(347) 507-0717,$$, 40.74421, -73.95328
2591,-CR-a1EGcaw7c9Qp2HsygA,Erotic Bakery,91,bakeries,4.0,17188867623.0,(718) 886-7623,$$$, 40.72506, -73.84549
2593,AIFWQIQR51YopTHOShIVBA,51st Bakery and Cafe,209,bakeries,4.5,17187070554.0,(718) 707-0554,$, 40.7422765542239, -73.9553309153442
2595,AIFWQIQR51YopTHOShIVBA,51st Bakery and Cafe,209,cafes,4.5,17187070554.0,(718) 707-0554,$, 40.7422765542239, -73.9553309153442
2597,AIFWQIQR51YopTHOShIVBA,51st Bakery and Cafe,209,coffee,4.5,17187070554.0,(718) 707-0554,$, 40.7422765542239, -73.9553309153442
2599,3SXxb0-HspMiC_9yYaBnyg,Bear Donut,121,donuts,4.5,16464765199.0,(646) 476-5199,, 40.747299404730406, -73.98799936399958
2601,3SXxb0-HspMiC_9yYaBnyg,Bear Donut,121,coffee,4.5,16464765199.0,(646) 476-5199,, 40.747299404730406, -73.98799936399958
2603,64myhcNVkOJ-0GRVVWu6Cw,The Cookie Jar,200,bakeries,4.5,17184483500.0,(718) 448-3500,$$, 40.6261618, -74.1305995
2605,vOJkqLM8Kv4GyQe16UUPjg,Brooklyn Farmacy & Soda Fountain,774,icecream,4.0,17185226260.0,(718) 522-6260,$$, 40.68398, -73.99923
2607,vOJkqLM8Kv4GyQe16UUPjg,Brooklyn Farmacy & Soda Fountain,774,desserts,4.0,17185226260.0,(718) 522-6260,$$, 40.68398, -73.99923
2610,vOJkqLM8Kv4GyQe16UUPjg,Brooklyn Farmacy & Soda Fountain,774,beer,4.0,17185226260.0,(718) 522-6260,$$, 40.68398, -73.99923
2611,vOJkqLM8Kv4GyQe16UUPjg,Brooklyn Farmacy & Soda Fountain,774,wine&spirits,4.0,17185226260.0,(718) 522-6260,$$, 40.68398, -73.99923
2612,C6f_MQaRwIbJ8diailVaCA,L'Appart,138,french,5.0,12129818577.0,(212) 981-8577,$$$$, 40.712708, -74.015919
2614,UQuV1hiPRPqPT2qBcLrQqA,Flipper’s,917,pancakes,3.5,19172658292.0,(917) 265-8292,$$, 40.72242, -74.00357
2616,oh7XgOSZWRr_T8TO6o9zMw,Noglu,185,bakeries,3.5,16468959798.0,(646) 895-9798,$$, 40.78365026483824, -73.956963
2618,oh7XgOSZWRr_T8TO6o9zMw,Noglu,185,coffee,3.5,16468959798.0,(646) 895-9798,$$, 40.78365026483824, -73.956963
2620,oh7XgOSZWRr_T8TO6o9zMw,Noglu,185,sandwiches,3.5,16468959798.0,(646) 895-9798,$$, 40.78365026483824, -73.956963
2622,S_of_GTDDlf7EmM5R5FS7g,The French Workshop,451,desserts,4.0,19148107470.0,(914) 810-7470,$$, 40.7256, -73.63453
2624,S_of_GTDDlf7EmM5R5FS7g,The French Workshop,451,coffee,4.0,19148107470.0,(914) 810-7470,$$, 40.7256, -73.63453
2626,D9VEOa_yrsIn-pSbWU_wAQ,Savannah’s Sweets,11,bakeries,5.0,19173492429.0,(917) 349-2429,, 40.703639, -73.933107
2628,U-ts4BgEpRISGeAw63Wjzg,Yummi Ami’s,1,cakeshop,5.0,12017923269.0,(201) 792-3269,, 40.728264, -74.033482
2632,U-ts4BgEpRISGeAw63Wjzg,Yummi Ami’s,1,bakeries,5.0,12017923269.0,(201) 792-3269,, 40.728264, -74.033482
2634,IOeoYa5C36PUzs5PyEo5BQ,Dutch Baby Bakery,52,coffee,4.0,16465592441.0,(646) 559-2441,$$, 40.855331459392666, -73.93725875562657
2637,IOeoYa5C36PUzs5PyEo5BQ,Dutch Baby Bakery,52,breakfast&brunch,4.0,16465592441.0,(646) 559-2441,$$, 40.855331459392666, -73.93725875562657
2638,IOeoYa5C36PUzs5PyEo5BQ,Dutch Baby Bakery,52,bakeries,4.0,16465592441.0,(646) 559-2441,$$, 40.855331459392666, -73.93725875562657
2640,7akz4cCMAn0Ze6JKMfU5oQ,Mazzola Bakery,238,bakeries,4.5,17186431719.0,(718) 643-1719,$, 40.68328, -73.999664
2642,NSWMw8_Yx3IJHOn2ki4dQg,Lulu Cake Boutique,259,bakeries,4.5,19147228300.0,(914) 722-8300,$$$, 40.987854, -73.809723
2644,NSWMw8_Yx3IJHOn2ki4dQg,Lulu Cake Boutique,259,cakeshop,4.5,19147228300.0,(914) 722-8300,$$$, 40.987854, -73.809723
2646,Mv2V_q0GfL9xs-ljWysiEQ,A'jar Sweet Cream Factory,3,desserts,5.0,19738781130.0,(973) 878-1130,, 40.80933652579561, -74.06774893788726
2648,Mv2V_q0GfL9xs-ljWysiEQ,A'jar Sweet Cream Factory,3,popupshops,5.0,19738781130.0,(973) 878-1130,, 40.80933652579561, -74.06774893788726
2649,Mv2V_q0GfL9xs-ljWysiEQ,A'jar Sweet Cream Factory,3,pop-upshops,5.0,19738781130.0,(973) 878-1130,, 40.80933652579561, -74.06774893788726
2650,uvwqQxkyBr4jqkQqRC20Pw,Möge Tee,68,bubbletea,4.0,16463705846.0,(646) 370-5846,$$, 40.736465, -73.979104
2652,uEYHwZmVy6EciszazojznA,Stick With Me,317,chocolate,4.5,16469186336.0,(646) 918-6336,$$$, 40.72139, -73.99545
2654,uEYHwZmVy6EciszazojznA,Stick With Me,317,desserts,4.5,16469186336.0,(646) 918-6336,$$$, 40.72139, -73.99545
2656,uEYHwZmVy6EciszazojznA,Stick With Me,317,candy,4.5,16469186336.0,(646) 918-6336,$$$, 40.72139, -73.99545
2657,uEYHwZmVy6EciszazojznA,Stick With Me,317,candystores,4.5,16469186336.0,(646) 918-6336,$$$, 40.72139, -73.99545
2658,eUTCn3JJcc9YRquk3IZdMw,Unica Cafe,72,bakeries,4.0,12014207596.0,(201) 420-7596,$, 40.75013, -74.04617
2661,eUTCn3JJcc9YRquk3IZdMw,Unica Cafe,72,breakfast&brunch,4.0,12014207596.0,(201) 420-7596,$, 40.75013, -74.04617
2662,eUTCn3JJcc9YRquk3IZdMw,Unica Cafe,72,coffee,4.0,12014207596.0,(201) 420-7596,$, 40.75013, -74.04617
2664,8BUIwWC7VI66y1qMM83OrQ,Rio De La Plata Bakery Shop,56,bakeries,4.0,17182715422.0,(718) 271-5422,$, 40.74235, -73.86771
2666,8BUIwWC7VI66y1qMM83OrQ,Rio De La Plata Bakery Shop,56,argentine,4.0,17182715422.0,(718) 271-5422,$, 40.74235, -73.86771
2668,saUL4G6DkpacnQlAwDNDjw,Glendale Bake Shop,49,bakeries,4.0,17184572006.0,(718) 457-2006,$, 40.72656, -73.89477
2670,saUL4G6DkpacnQlAwDNDjw,Glendale Bake Shop,49,delis,4.0,17184572006.0,(718) 457-2006,$, 40.72656, -73.89477
2672,saUL4G6DkpacnQlAwDNDjw,Glendale Bake Shop,49,sandwiches,4.0,17184572006.0,(718) 457-2006,$, 40.72656, -73.89477
2674,_RT9XPpn5jkNesxNzvktqw,Prince Tea House,551,desserts,4.0,19293377150.0,(929) 337-7150,$$, 40.63594, -74.01303
2676,_RT9XPpn5jkNesxNzvktqw,Prince Tea House,551,tea,4.0,19293377150.0,(929) 337-7150,$$, 40.63594, -74.01303
2677,_RT9XPpn5jkNesxNzvktqw,Prince Tea House,551,tearooms,4.0,19293377150.0,(929) 337-7150,$$, 40.63594, -74.01303
2678,_RT9XPpn5jkNesxNzvktqw,Prince Tea House,551,sandwiches,4.0,19293377150.0,(929) 337-7150,$$, 40.63594, -74.01303
2680,ij-TINTRFjh490-naAF62w,M & W Bakery,18,bakeries,4.5,12122850918.0,(212) 285-0918,$, 40.715772, -73.998955
2682,7rxg-tWPc1jK7Cikn5R86g,Hi-Collar,795,japanese,4.0,12127777018.0,(212) 777-7018,$$, 40.729564, -73.98786
2684,7rxg-tWPc1jK7Cikn5R86g,Hi-Collar,795,coffee,4.0,12127777018.0,(212) 777-7018,$$, 40.729564, -73.98786
2686,7rxg-tWPc1jK7Cikn5R86g,Hi-Collar,795,bars,4.0,12127777018.0,(212) 777-7018,$$, 40.729564, -73.98786
2688,yYMpB8hfgX5CKGjIPkIOzQ,Nothing Bundt Cakes,14,bakeries,5.0,15164614829.0,(516) 461-4829,, 40.748987, -73.618381
2690,yYMpB8hfgX5CKGjIPkIOzQ,Nothing Bundt Cakes,14,desserts,5.0,15164614829.0,(516) 461-4829,, 40.748987, -73.618381
2692,yYMpB8hfgX5CKGjIPkIOzQ,Nothing Bundt Cakes,14,cupcakes,5.0,15164614829.0,(516) 461-4829,, 40.748987, -73.618381
2694,NSGPfjlCKJpUVnecoERNJA,L'imprimerie,254,bakeries,4.5,19292956464.0,(929) 295-6464,$$, 40.69927, -73.91287
2696,NSGPfjlCKJpUVnecoERNJA,L'imprimerie,254,cafes,4.5,19292956464.0,(929) 295-6464,$$, 40.69927, -73.91287
2698,NSGPfjlCKJpUVnecoERNJA,L'imprimerie,254,coffee,4.5,19292956464.0,(929) 295-6464,$$, 40.69927, -73.91287
